#Iteration cv_0 center_0
100 0.48667336 -0.523598
200 -1.0478448 -0.523598
300 -0.93727401 -0.523598
400 -0.74265975 -0.523598
500 -0.64780788 -0.523598
600 -0.78490427 -0.523598
700 -0.36428682 -0.523598
800 -0.51136345 -0.523598
900 -0.92288021 -0.523598
1000 -0.6589764 -0.523598
1100 -0.87261634 -0.523598
1200 -0.4675688 -0.523598
1300 -0.90021499 -0.523598
1400 -0.33408341 -0.523598
1500 -0.48740271 -0.523598
1600 -0.92024169 -0.523598
1700 -0.64764238 -0.523598
1800 -0.67583256 -0.523598
1900 -0.93381267 -0.523598
2000 -0.25853314 -0.523598
2100 -1.6409873 -0.523598
2200 0.049526272 -0.523598
2300 -1.0675948 -0.523598
2400 -0.60263892 -0.523598
2500 -1.0286628 -0.523598
2600 -0.66838675 -0.523598
2700 -0.76183261 -0.523598
2800 -1.2272912 -0.523598
2900 -0.5901141 -0.523598
3000 -0.76941468 -0.523598
3100 -0.5632169 -0.523598
3200 -0.70936611 -0.523598
3300 -0.63980764 -0.523598
3400 -1.1463533 -0.523598
3500 -0.61595558 -0.523598
3600 -0.58862359 -0.523598
3700 -0.70513144 -0.523598
3800 -0.6552008 -0.523598
3900 -0.62296438 -0.523598
4000 -0.69963844 -0.523598
4100 -1.0440117 -0.523598
4200 -0.70501516 -0.523598
4300 -0.80562583 -0.523598
4400 -0.63205656 -0.523598
4500 -0.76635272 -0.523598
4600 -0.43736354 -0.523598
4700 -0.55649149 -0.523598
4800 -0.94478448 -0.523598
4900 -0.82857019 -0.523598
5000 -0.85025562 -0.523598
5100 -0.79145843 -0.523598
5200 -0.76703351 -0.523598
5300 -0.56932866 -0.523598
5400 -0.29503117 -0.523598
5500 -0.74106037 -0.523598
5600 -0.95040608 -0.523598
5700 -0.67452877 -0.523598
5800 -0.90089414 -0.523598
5900 -0.6099612 -0.523598
6000 -0.90010588 -0.523598
6100 -0.84819334 -0.523598
6200 -0.99852961 -0.523598
6300 -0.45414286 -0.523598
6400 -0.91166071 -0.523598
6500 -0.53692882 -0.523598
6600 -0.98439496 -0.523598
6700 -1.0106373 -0.523598
6800 -0.94493205 -0.523598
6900 -0.48147998 -0.523598
7000 -0.86556346 -0.523598
7100 -0.69877124 -0.523598
7200 -0.8123089 -0.523598
7300 -0.82300219 -0.523598
7400 -0.46703615 -0.523598
7500 -0.59857876 -0.523598
7600 -0.77481032 -0.523598
7700 -0.73560055 -0.523598
7800 -0.83152265 -0.523598
7900 -0.69436851 -0.523598
8000 -0.82263279 -0.523598
8100 -0.96048292 -0.523598
8200 -0.41483612 -0.523598
8300 -0.73425391 -0.523598
8400 -0.69361748 -0.523598
8500 -0.74540792 -0.523598
8600 -0.84255155 -0.523598
8700 -0.99651664 -0.523598
8800 -0.41669776 -0.523598
8900 -0.83916794 -0.523598
9000 -0.69539717 -0.523598
9100 -0.78065621 -0.523598
9200 -0.71894864 -0.523598
9300 -0.71114078 -0.523598
9400 -0.90517174 -0.523598
9500 -0.78361822 -0.523598
9600 -0.84767472 -0.523598
9700 -0.70159709 -0.523598
9800 -0.8021511 -0.523598
9900 -0.58022501 -0.523598
10000 -0.67285153 -0.523598
10100 -0.57075924 -0.523598
10200 -0.84050436 -0.523598
10300 -0.70780284 -0.523598
10400 -0.87709692 -0.523598
10500 -0.71023298 -0.523598
10600 -0.91470723 -0.523598
10700 -0.42649356 -0.523598
10800 -0.63558488 -0.523598
10900 -0.55732062 -0.523598
11000 -0.84464069 -0.523598
11100 -0.67392043 -0.523598
11200 -0.85529591 -0.523598
11300 -0.66387722 -0.523598
11400 -0.81244715 -0.523598
11500 -0.74241255 -0.523598
11600 -0.79189983 -0.523598
11700 -0.77467201 -0.523598
11800 -0.74314805 -0.523598
11900 -0.74334792 -0.523598
12000 -0.78577381 -0.523598
12100 -0.55703731 -0.523598
12200 -1.0145718 -0.523598
12300 -0.61964957 -0.523598
12400 -0.80052154 -0.523598
12500 -0.72144818 -0.523598
12600 -0.64132501 -0.523598
12700 -1.0118301 -0.523598
12800 -0.5641657 -0.523598
12900 -1.1434656 -0.523598
13000 -0.62481455 -0.523598
13100 -0.91187376 -0.523598
13200 -0.66846525 -0.523598
13300 -0.77452987 -0.523598
13400 -0.78531378 -0.523598
13500 -0.76047665 -0.523598
13600 -0.86235395 -0.523598
13700 -0.68154214 -0.523598
13800 -0.88637561 -0.523598
13900 -0.57828126 -0.523598
14000 -1.0610599 -0.523598
14100 0.027222422 -0.523598
14200 -1.2332671 -0.523598
14300 -0.7884631 -0.523598
14400 -0.95190913 -0.523598
14500 -0.76361289 -0.523598
14600 -0.90163614 -0.523598
14700 -0.6217222 -0.523598
14800 -0.53594446 -0.523598
14900 -0.73047856 -0.523598
15000 -0.69875121 -0.523598
15100 -0.90851889 -0.523598
15200 -0.64564636 -0.523598
15300 -1.1716799 -0.523598
15400 -0.39190808 -0.523598
15500 -0.84564441 -0.523598
15600 -0.91449617 -0.523598
15700 -0.91074162 -0.523598
15800 -0.8213463 -0.523598
15900 -0.81215608 -0.523598
16000 -0.79293872 -0.523598
16100 -0.80051277 -0.523598
16200 -0.7120003 -0.523598
16300 -0.87449015 -0.523598
16400 -0.84301577 -0.523598
16500 -0.85622037 -0.523598
16600 -0.88889463 -0.523598
16700 -0.62281399 -0.523598
16800 -0.93741557 -0.523598
16900 -0.82224167 -0.523598
17000 -0.93632477 -0.523598
17100 -0.8611295 -0.523598
17200 -0.85972812 -0.523598
17300 -0.97801354 -0.523598
17400 -0.52138647 -0.523598
17500 -0.65035535 -0.523598
17600 -1.0071483 -0.523598
17700 -0.815574 -0.523598
17800 -0.93272912 -0.523598
17900 -0.74552361 -0.523598
18000 -0.86255317 -0.523598
18100 -0.27859911 -0.523598
18200 -0.71420567 -0.523598
18300 -0.81439099 -0.523598
18400 -0.90586867 -0.523598
18500 -0.86990776 -0.523598
18600 -1.0827713 -0.523598
18700 -0.52564679 -0.523598
18800 -0.76540412 -0.523598
18900 -0.80844679 -0.523598
19000 -1.0339482 -0.523598
19100 -0.84036937 -0.523598
19200 -0.9371249 -0.523598
19300 -0.43795132 -0.523598
19400 -0.89450072 -0.523598
19500 -1.0264333 -0.523598
19600 -0.81847801 -0.523598
19700 -0.77601439 -0.523598
19800 -0.69075308 -0.523598
19900 -0.61499446 -0.523598
20000 -1.112147 -0.523598
20100 -0.64040253 -0.523598
20200 -0.81708379 -0.523598
20300 -0.78592689 -0.523598
20400 -0.74029629 -0.523598
20500 -0.87934279 -0.523598
20600 -0.75321451 -0.523598
20700 -1.0295031 -0.523598
20800 -0.51951273 -0.523598
20900 -0.94228313 -0.523598
21000 -0.66781345 -0.523598
21100 -0.9899586 -0.523598
21200 -0.73562649 -0.523598
21300 -0.98259822 -0.523598
21400 -0.83397829 -0.523598
21500 -0.6072116 -0.523598
21600 -0.81392074 -0.523598
21700 -0.58309821 -0.523598
21800 -0.88188635 -0.523598
21900 -0.46648718 -0.523598
22000 -1.0300076 -0.523598
22100 -0.74700779 -0.523598
22200 -0.7364076 -0.523598
22300 -0.69140212 -0.523598
22400 -0.92215946 -0.523598
22500 -0.68802181 -0.523598
22600 -1.1547088 -0.523598
22700 -1.0111131 -0.523598
22800 -0.43538825 -0.523598
22900 -0.84897184 -0.523598
23000 -0.62297761 -0.523598
23100 -0.87421687 -0.523598
23200 -0.79965273 -0.523598
23300 -1.2557263 -0.523598
23400 -0.48370306 -0.523598
23500 -0.89421072 -0.523598
23600 -0.76731115 -0.523598
23700 -0.75067881 -0.523598
23800 -0.94567825 -0.523598
23900 -0.6129676 -0.523598
24000 -0.90825985 -0.523598
24100 -0.62740433 -0.523598
24200 -0.96277538 -0.523598
24300 -0.69477369 -0.523598
24400 -1.0190929 -0.523598
24500 -0.64531755 -0.523598
24600 -1.1019912 -0.523598
24700 -0.70191064 -0.523598
24800 -1.1489396 -0.523598
24900 -0.7623073 -0.523598
25000 -0.90245863 -0.523598
25100 -0.72430376 -0.523598
25200 -0.51890252 -0.523598
25300 -0.8735185 -0.523598
25400 -0.74252842 -0.523598
25500 -0.71121696 -0.523598
25600 -0.81788776 -0.523598
25700 -0.75690987 -0.523598
25800 -0.82978183 -0.523598
25900 -0.74246506 -0.523598
26000 -0.85453548 -0.523598
26100 -0.73428279 -0.523598
26200 -0.84209508 -0.523598
26300 -0.77973568 -0.523598
26400 -0.8074704 -0.523598
26500 -0.87758538 -0.523598
26600 -0.77536174 -0.523598
26700 -0.75834946 -0.523598
26800 -0.78745681 -0.523598
26900 -0.9452969 -0.523598
27000 -0.76576111 -0.523598
27100 -1.0764163 -0.523598
27200 -0.55516011 -0.523598
27300 -1.0937066 -0.523598
27400 -0.78419713 -0.523598
27500 -0.84094391 -0.523598
27600 -0.82320734 -0.523598
27700 -0.63625392 -0.523598
27800 -0.94619863 -0.523598
27900 -0.58710395 -0.523598
28000 -0.89093841 -0.523598
28100 -0.7594642 -0.523598
28200 -1.0035324 -0.523598
28300 -0.75727698 -0.523598
28400 -1.1123121 -0.523598
28500 -0.54216263 -0.523598
28600 -0.89118285 -0.523598
28700 -0.93407466 -0.523598
28800 -0.90088362 -0.523598
28900 -0.77586869 -0.523598
29000 -0.78195265 -0.523598
29100 -0.7232347 -0.523598
29200 -0.98810687 -0.523598
29300 -0.97405729 -0.523598
29400 -0.84915393 -0.523598
29500 -0.909592 -0.523598
29600 -0.73192122 -0.523598
29700 -0.81977938 -0.523598
29800 -0.72736903 -0.523598
29900 -0.99151915 -0.523598
30000 -0.69454555 -0.523598
30100 -0.91284288 -0.523598
30200 -0.6752174 -0.523598
30300 -0.74530664 -0.523598
30400 -0.68976091 -0.523598
30500 -0.6898977 -0.523598
30600 -1.1653462 -0.523598
30700 -0.72483068 -0.523598
30800 -1.0304534 -0.523598
30900 -0.62987772 -0.523598
31000 -0.99074171 -0.523598
31100 -0.18444395 -0.523598
31200 -0.97734613 -0.523598
31300 -0.75467144 -0.523598
31400 -0.89709407 -0.523598
31500 -0.86072065 -0.523598
31600 -0.80068344 -0.523598
31700 -0.95029528 -0.523598
31800 -0.48283538 -0.523598
31900 -1.0573144 -0.523598
32000 -0.73741916 -0.523598
32100 -0.71761899 -0.523598
32200 -0.8306995 -0.523598
32300 -0.5714093 -0.523598
32400 -1.1529416 -0.523598
32500 -0.68414131 -0.523598
32600 -0.81917324 -0.523598
32700 -0.78024031 -0.523598
32800 -0.811501 -0.523598
32900 -0.88489415 -0.523598
33000 -0.87376516 -0.523598
33100 -1.0487013 -0.523598
33200 -0.50373848 -0.523598
33300 -0.90341541 -0.523598
33400 -0.65689314 -0.523598
33500 -0.92365288 -0.523598
33600 -0.8235241 -0.523598
33700 -0.87917877 -0.523598
33800 -0.74644051 -0.523598
33900 -0.70136791 -0.523598
34000 -0.63353198 -0.523598
34100 -0.79982701 -0.523598
34200 -0.90348364 -0.523598
34300 -0.84921298 -0.523598
34400 -1.0064601 -0.523598
34500 -0.7369631 -0.523598
34600 -0.94076432 -0.523598
34700 -0.65565323 -0.523598
34800 -0.87877603 -0.523598
34900 -0.55105332 -0.523598
35000 -0.94957775 -0.523598
35100 -0.72172364 -0.523598
35200 -0.66106903 -0.523598
35300 -1.0057368 -0.523598
35400 -0.59120181 -0.523598
35500 -0.90811815 -0.523598
35600 -0.61898882 -0.523598
35700 -0.93916312 -0.523598
35800 -0.77062786 -0.523598
35900 -1.0046208 -0.523598
36000 -0.62808034 -0.523598
36100 -0.91359356 -0.523598
36200 -0.59904786 -0.523598
36300 -0.7534082 -0.523598
36400 -1.0607515 -0.523598
36500 -0.59237608 -0.523598
36600 -0.77267639 -0.523598
36700 -0.70224504 -0.523598
36800 -0.70007735 -0.523598
36900 -0.77405154 -0.523598
37000 -0.67391337 -0.523598
37100 -0.77454962 -0.523598
37200 -0.93806109 -0.523598
37300 -0.85611751 -0.523598
37400 -0.77095563 -0.523598
37500 -0.98113257 -0.523598
37600 -0.52866195 -0.523598
37700 -1.0359317 -0.523598
37800 -0.85295355 -0.523598
37900 -0.66116137 -0.523598
38000 -0.78241556 -0.523598
38100 -0.50440616 -0.523598
38200 -0.82112629 -0.523598
38300 -0.59484469 -0.523598
38400 -1.1576113 -0.523598
38500 -0.68103979 -0.523598
38600 -0.93284423 -0.523598
38700 -0.60798823 -0.523598
38800 -0.7276835 -0.523598
38900 -0.72636728 -0.523598
39000 -1.058022 -0.523598
39100 -0.55351068 -0.523598
39200 -0.71932898 -0.523598
39300 -0.61762729 -0.523598
39400 -0.55308641 -0.523598
39500 -0.88317251 -0.523598
39600 -0.79726815 -0.523598
39700 -1.0937648 -0.523598
39800 -0.5781521 -0.523598
39900 -0.89247746 -0.523598
40000 -0.56139241 -0.523598
40100 -0.83651832 -0.523598
40200 -0.6653893 -0.523598
40300 -1.1186807 -0.523598
40400 -0.6066429 -0.523598
40500 -0.91660485 -0.523598
40600 -0.53839828 -0.523598
40700 -0.76510173 -0.523598
40800 -0.27448778 -0.523598
40900 -0.72456532 -0.523598
41000 -0.94389187 -0.523598
41100 -0.74642257 -0.523598
41200 -0.91052214 -0.523598
41300 -0.61113141 -0.523598
41400 -0.75927614 -0.523598
